 SITE CODE= 532小千谷市城内              
 LAT.=   37.3130
 LON.=  138.7916
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2004 10 23 17 55 50
 NS,EW,UD
-0.023,0.026,-0.009
-0.021,0.016,-0.005
0.008,-0.013,0.007
0.029,-0.023,0.006
0.012,-0.026,-0.007
-0.004,0.005,-0.004
0.002,0.032,0.004
-0.008,0.018,0.007
-0.016,-0.004,0.006
-0.012,-0.024,-0.003
0.006,-0.027,-0.009
0.020,-0.015,-0.002
0.007,0.011,0.005
-0.006,0.021,0.002
-0.007,0.006,-0.006
0.007,-0.009,-0.010
-0.002,-0.016,-0.001
-0.027,-0.005,0.007
-0.004,0.006,0.009
0.021,0.016,0.003
0.004,0.016,-0.005
0.001,0.000,-0.005
0.029,-0.006,0.004
0.030,-0.005,0.013
-0.013,-0.002,0.002
-0.027,-0.008,-0.003
-0.009,-0.009,-0.001
-0.009,-0.002,-0.004
-0.020,-0.008,-0.001
-0.006,-0.006,-0.003
0.027,0.004,0.003
0.036,0.013,0.009
0.018,0.016,-0.003
-0.011,0.004,-0.008
-0.023,-0.005,-0.003
-0.025,-0.002,0.004
-0.023,-0.005,0.012
-0.007,-0.008,0.003
0.018,-0.003,-0.006
0.037,-0.003,-0.008
0.030,-0.002,-0.006
0.017,0.007,0.010
0.001,0.010,0.015
-0.027,0.003,0.003
-0.038,-0.008,-0.012
-0.028,-0.016,-0.016
-0.020,-0.014,-0.002
-0.004,-0.007,0.014
0.027,-0.010,0.021
0.048,0.002,0.002
0.038,0.028,-0.017
0.015,0.021,-0.015
0.007,0.004,0.002
-0.014,-0.003,0.018
-0.041,-0.010,0.009
-0.028,-0.014,-0.007
-0.005,-0.019,-0.005
-0.003,-0.013,0.002
0.003,-0.011,0.005
0.029,-0.008,0.007
0.045,0.012,-0.007
0.027,0.018,-0.022
-0.004,0.011,-0.001
-0.021,0.005,0.022
-0.026,0.000,0.016
-0.031,-0.001,-0.001
-0.017,-0.018,-0.014
0.006,-0.015,-0.005
0.015,0.003,-0.002
0.016,0.011,-0.009
0.018,0.014,-0.001
0.014,0.013,-0.002
-0.006,0.013,-0.002
-0.012,-0.003,0.009
-0.004,-0.014,0.006
-0.005,0.004,-0.007
0.004,0.011,-0.005
0.012,0.004,0.007
0.012,-0.005,0.017
0.012,-0.004,0.012
0.002,-0.005,-0.010
-0.009,-0.019,-0.017
-0.018,-0.015,0.003
-0.024,0.001,0.015
-0.009,0.007,0.008
0.016,0.009,-0.003
0.027,0.020,-0.010
0.021,0.013,0.002
0.018,-0.012,0.004
0.010,-0.011,-0.011
-0.016,0.002,-0.012
-0.039,-0.004,0.002
-0.034,-0.012,0.019
-0.015,-0.002,0.014
-0.003,-0.005,-0.014
0.016,-0.013,-0.025
0.041,0.014,-0.009
0.040,0.030,0.005
0.013,0.009,0.007
-0.012,-0.013,0.007
-0.018,-0.018,-0.007
-0.018,-0.013,-0.023
-0.025,-0.006,-0.007
-0.007,0.016,0.015
0.020,0.022,0.017
0.014,-0.011,0.002
0.010,-0.020,-0.012
0.016,-0.009,-0.005
-0.002,-0.007,0.013
-0.020,0.011,0.021
-0.019,0.028,0.006
-0.011,0.022,-0.007
-0.010,0.012,0.005
-0.004,0.015,0.007
0.024,0.005,-0.004
0.029,-0.013,0.002
0.013,-0.010,0.004
0.009,-0.012,-0.012
-0.009,-0.023,-0.009
-0.028,-0.013,0.004
-0.023,0.003,0.005
-0.007,0.006,0.015
0.005,0.015,0.013
0.011,0.015,-0.013
0.021,-0.008,-0.024
0.033,-0.011,-0.008
0.018,-0.002,-0.003
-0.018,-0.009,0.002
-0.034,-0.012,0.023
-0.034,-0.006,0.014
-0.036,-0.006,-0.010
-0.025,-0.008,-0.008
0.001,0.015,0.000
0.034,0.025,0.010
0.039,0.006,0.019
0.030,0.006,0.011
0.025,0.004,-0.007
-0.004,0.000,-0.012
-0.019,0.011,-0.005
-0.023,0.007,0.002
-0.030,0.000,0.009
-0.011,-0.005,-0.002
0.013,-0.013,-0.018
0.018,-0.013,0.000
0.001,-0.003,0.007
0.001,0.004,-0.011
0.003,-0.005,0.000
-0.017,0.003,0.007
-0.010,0.002,-0.003
0.009,-0.018,0.014
0.017,0.000,0.013
0.020,0.015,-0.003
0.005,0.010,-0.003
-0.012,0.012,-0.003
-0.024,-0.004,0.002
-0.027,-0.022,0.013
-0.023,-0.014,0.004
-0.004,-0.002,-0.011
0.018,0.008,0.001
0.017,0.017,0.013
0.020,0.013,0.000
0.018,-0.004,-0.008
0.003,-0.006,-0.011
-0.004,0.005,-0.008
-0.020,-0.004,0.002
-0.018,0.005,0.002
-0.008,0.008,-0.004
-0.037,-0.018,-0.002
-0.036,-0.007,0.007
0.001,-0.002,0.014
0.010,-0.008,0.007
0.036,0.011,-0.006
0.070,0.021,-0.011
0.041,0.016,-0.010
-0.009,-0.004,0.000
-0.034,-0.015,0.015
-0.052,-0.017,0.016
-0.051,-0.015,-0.005
