SITE CODE= EEB熊本西区春日              ,32.7755,130.8495,  8,5.8,42474.9219329,  3.09,  5.24
 LAT.=   32.7866
 LON.=  130.6876
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 22 06 10
 NS,EW,UD
-0.018,0.135,-0.034
-0.053,0.132,-0.151
-0.084,0.066,-0.166
-0.075,0.003,-0.072
-0.038,-0.034,0.046
-0.025,-0.057,0.103
-0.061,-0.054,0.084
-0.121,0.007,0.035
-0.175,0.095,-0.002
-0.199,0.120,-0.019
-0.180,0.026,-0.013
-0.106,-0.111,0.020
-0.007,-0.167,0.069
0.042,-0.103,0.092
-0.021,-0.002,0.056
-0.153,0.052,-0.016
-0.224,0.075,-0.065
-0.155,0.120,-0.051
-0.034,0.152,0.001
-0.009,0.085,0.036
-0.111,-0.078,0.035
-0.190,-0.191,0.029
-0.111,-0.107,0.046
0.059,0.130,0.069
0.119,0.317,0.055
-0.005,0.299,0.001
-0.153,0.125,-0.052
-0.125,-0.038,-0.055
0.048,-0.108,-0.013
0.134,-0.143,0.031
-0.011,-0.216,0.049
-0.252,-0.289,0.044
-0.358,-0.252,0.030
-0.292,-0.069,0.011
-0.231,0.142,-0.023
-0.290,0.234,-0.045
-0.332,0.173,-0.015
-0.153,0.074,0.071
0.201,0.067,0.155
0.425,0.148,0.146
0.288,0.189,0.028
-0.079,0.087,-0.122
-0.321,-0.110,-0.198
-0.253,-0.244,-0.154
-0.030,-0.194,-0.041
0.078,-0.009,0.060
-0.008,0.146,0.114
-0.151,0.159,0.131
-0.222,0.068,0.132
-0.246,0.009,0.122
-0.293,0.052,0.100
-0.315,0.148,0.072
-0.187,0.170,0.038
0.084,0.059,-0.025
0.303,-0.122,-0.126
0.269,-0.242,-0.220
0.004,-0.209,-0.219
-0.270,-0.058,-0.084
-0.366,0.074,0.110
-0.287,0.084,0.221
-0.153,0.002,0.175
-0.039,-0.042,0.045
0.063,0.030,-0.025
0.142,0.134,0.022
0.128,0.114,0.102
-0.008,-0.049,0.095
-0.186,-0.193,-0.014
-0.281,-0.136,-0.121
-0.256,0.099,-0.121
-0.184,0.298,-0.028
-0.134,0.273,0.056
-0.091,0.055,0.071
-0.020,-0.152,0.044
0.047,-0.186,0.036
0.023,-0.052,0.048
-0.112,0.101,0.034
-0.265,0.139,-0.025
