-0.100,-0.074,-0.042
-0.191,-0.068,-0.054
-0.285,-0.059,-0.059
-0.373,-0.045,-0.059
-0.451,-0.038,-0.062
-0.517,-0.059,-0.065
-0.564,-0.116,-0.066
-0.584,-0.190,-0.063
-0.583,-0.247,-0.064
-0.576,-0.259,-0.077
-0.577,-0.229,-0.097
-0.599,-0.182,-0.118
-0.647,-0.145,-0.128
-0.723,-0.130,-0.127
-0.818,-0.136,-0.120
-0.922,-0.161,-0.107
-1.024,-0.204,-0.090
-1.106,-0.269,-0.067
-1.156,-0.353,-0.042
-1.168,-0.444,-0.021
-1.147,-0.532,-0.014
-1.113,-0.601,-0.018
-1.094,-0.639,-0.024
-1.106,-0.635,-0.014
-1.141,-0.587,0.018
-1.181,-0.508,0.064
-1.211,-0.419,0.098
-1.234,-0.333,0.103
-1.256,-0.254,0.087
-1.268,-0.177,0.074
-1.248,-0.107,0.085
-1.184,-0.054,0.117
-1.087,-0.026,0.141
-0.986,-0.020,0.132
-0.908,-0.024,0.093
-0.862,-0.027,0.048
-0.844,-0.032,0.025
-0.847,-0.049,0.029
-0.864,-0.078,0.038
-0.889,-0.106,0.036
-0.915,-0.119,0.021
-0.936,-0.112,0.011
-0.961,-0.095,0.019
-0.996,-0.081,0.044
-1.035,-0.074,0.073
-1.057,-0.070,0.094
-1.045,-0.060,0.105
-0.997,-0.039,0.111
-0.920,-0.005,0.114
-0.821,0.043,0.111
-0.692,0.102,0.098
-0.535,0.157,0.085
-0.366,0.188,0.084
-0.218,0.180,0.094
-0.116,0.142,0.107
-0.064,0.095,0.109
-0.047,0.066,0.101
-0.039,0.065,0.092
-0.028,0.080,0.086
-0.011,0.098,0.071
0.005,0.121,0.035
0.022,0.157,-0.022
0.041,0.208,-0.081
0.067,0.255,-0.120
0.110,0.279,-0.139
0.177,0.273,-0.157
0.264,0.255,-0.189
0.358,0.249,-0.225
0.437,0.267,-0.248
0.493,0.299,-0.248
0.530,0.335,-0.233
0.558,0.366,-0.218
0.578,0.390,-0.203
0.584,0.402,-0.173
0.572,0.391,-0.123
0.549,0.352,-0.073
0.530,0.291,-0.051
0.523,0.227,-0.062
0.518,0.181,-0.082
0.508,0.168,-0.078
0.496,0.193,-0.041
0.493,0.253,0.004
0.508,0.334,0.030
0.533,0.420,0.029
0.556,0.499,0.016
0.569,0.569,0.018
0.577,0.630,0.037
0.586,0.679,0.062
0.592,0.701,0.082
0.580,0.686,0.095
0.541,0.641,0.109
0.482,0.587,0.129
0.426,0.546,0.145
0.394,0.519,0.148
0.401,0.498,0.135
0.442,0.475,0.115
0.503,0.450,0.093
0.566,0.424,0.071
0.621,0.393,0.046
0.664,0.349,0.025
0.691,0.293,0.016
0.698,0.227,0.021
0.674,0.157,0.029
0.621,0.085,0.021
0.551,0.011,-0.002
